                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4709,                 5.6873,                 1.4728,                 0.2141,                0.25967,                0.21639,                0.10275,                 1.6732,                 4.6076,                  1.561,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.2432,                  3.119,                 1.2973,                0.70917,                0.47057,                 0.5562,                0.38183,                 1.1716,                 4.2222,                 1.1546,             0.00014854,             0.00014854,             0.00014854
                      3,                  1.067,                 1.9842,                 1.1648,                0.78274,                 0.4924,                0.58259,                0.40608,                 1.0182,                 4.7536,                 1.0801,             0.00022876,             0.00022876,             0.00022876
                      4,                 0.9114,                 1.6817,                  1.132,                0.48839,                0.76389,                 0.5946,                0.44347,                0.97329,                  6.327,                 1.0374,             0.00030732,             0.00030732,             0.00030732
                      5,                0.93535,                 1.4607,                 1.0821,                0.45875,                0.51389,                0.44308,                0.33713,                 1.0906,                 14.599,                  1.117,             0.00038424,             0.00038424,             0.00038424
                      6,                 1.0567,                 1.6515,                 1.2928,                0.47783,                0.79606,                0.50421,                0.38788,                 1.0655,                 14.326,                 1.1449,              0.0004595,              0.0004595,              0.0004595
                      7,                 1.0993,                 1.6806,                 1.1908,                0.45534,                0.74877,                 0.5087,                0.36774,                 1.0758,                 5.1081,                 1.1258,             0.00053311,             0.00053311,             0.00053311
                      8,                 1.1167,                 1.6541,                 1.1863,                0.75182,                0.77662,                0.79125,                0.57115,                0.97031,                 1.8258,                 1.0671,             0.00060508,             0.00060508,             0.00060508
                      9,                 1.0602,                 1.5636,                 1.1603,                0.68311,                0.58796,                0.63935,                0.43617,                  1.041,                 2.4977,                 1.1878,             0.00067539,             0.00067539,             0.00067539
                     10,                 1.0693,                 1.4502,                 1.1835,                 0.4391,                0.61045,                0.51608,                0.37104,                0.95269,                 3.3569,                 1.1304,             0.00074405,             0.00074405,             0.00074405
                     11,                0.96738,                 1.4172,                 1.1586,                0.78238,                0.37037,                0.41309,                0.29302,                  1.013,                 3.6271,                 1.1678,             0.00081106,             0.00081106,             0.00081106
                     12,                 1.3907,                 1.6214,                 1.2901,                 0.4708,                0.42593,                0.43199,                0.31683,                 1.1877,                 3.6003,                 1.3711,             0.00087642,             0.00087642,             0.00087642
                     13,                0.96503,                 1.3309,                 1.0709,                0.52225,                   0.75,                0.65604,                0.49471,                0.94075,                 1.9504,                 1.1306,             0.00094013,             0.00094013,             0.00094013
                     14,                 1.2292,                 1.3768,                  1.232,                0.45967,                0.77154,                0.53797,                0.35699,                 1.0634,                 2.4311,                 1.3139,              0.0010022,              0.0010022,              0.0010022
                     15,                 1.1831,                 1.1321,                 1.1542,                0.26618,                0.43981,                0.10904,                0.08015,                 1.1686,                 3.6505,                 1.3517,              0.0010626,              0.0010626,              0.0010626
                     16,                  1.086,                 1.1291,                 1.1557,                0.51966,                0.38889,                0.26204,                0.17893,                 1.3727,                 3.8853,                 1.7189,              0.0011214,              0.0011214,              0.0011214
                     17,                 1.1744,                 1.0664,                 1.3767,                0.70973,                0.66508,                0.65906,                0.36932,                 1.5318,                 2.4134,                 1.8731,              0.0011785,              0.0011785,              0.0011785
                     18,                 1.2223,                 1.2325,                 1.3044,                 0.7767,                0.68545,                0.73578,                0.51293,                 1.1924,                 2.0949,                 1.5389,              0.0012339,              0.0012339,              0.0012339
                     19,                 1.0334,                 1.0742,                 1.1875,                 0.6784,                0.73718,                0.71535,                0.49642,                 1.1263,                 2.8836,                 1.5216,              0.0012877,              0.0012877,              0.0012877
                     20,                 1.0445,                0.97629,                 1.1409,                0.71178,                0.59621,                0.70314,                0.40582,                 1.6537,                 4.4532,                 1.9998,              0.0013399,              0.0013399,              0.0013399
                     21,                 1.1034,                 1.1706,                 1.2122,                0.78941,                0.80541,                0.80468,                0.53417,                 1.3832,                 3.0339,                 1.5606,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.0845,                 1.1023,                 1.2874,                0.77543,                0.76852,                 0.7502,                 0.4904,                 1.4736,                 3.7104,                 1.6886,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.0052,                0.99463,                 1.2011,                0.75835,                0.49278,                0.62926,                0.38028,                 1.4128,                 4.1496,                 1.6616,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.1059,                0.95907,                 1.2142,                0.78944,                0.68738,                0.78103,                0.52624,                 1.1397,                 6.4885,                 1.4635,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.0181,                0.94008,                 1.1762,                0.76508,                0.68981,                0.70275,                0.48624,                 1.1761,                 5.9518,                 1.4751,              0.0012874,              0.0012874,              0.0012874
                     26,                0.96046,                0.98231,                 1.1199,                0.84198,                0.68981,                0.71289,                0.49431,                 1.2662,                 3.9123,                  1.612,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.0044,                0.89762,                 1.2542,                0.86429,                0.72242,                0.77999,                 0.5296,                 1.3397,                 3.9269,                 1.6518,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.0698,                0.86531,                 1.2614,                0.80704,                0.65496,                0.72026,                0.51027,                  1.158,                 2.5806,                 1.3664,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.0238,                 1.0333,                 1.1749,                0.76468,                0.80165,                0.81226,                0.59066,                 1.0669,                  1.466,                 1.2775,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.0012,                0.92869,                 1.1667,                0.77008,                0.81019,                0.87766,                0.63551,                 1.0112,                 1.6923,                 1.2187,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.1529,                 1.1093,                 1.2847,                0.53781,                0.84141,                0.70187,                0.51022,                 1.0707,                 2.4108,                 1.2422,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.0444,                 0.9505,                 1.2003,                0.47309,                0.57524,                0.48465,                0.31029,                 1.3803,                 1.8951,                 1.4911,              0.0011719,              0.0011719,              0.0011719
                     33,                  1.163,                 1.1071,                 1.2798,                0.91097,                0.89484,                0.92883,                0.63405,                 1.1311,                 1.1722,                 1.2651,              0.0011554,              0.0011554,              0.0011554
                     34,                0.99563,                 1.0036,                 1.1602,                0.86917,                 0.9537,                0.93496,                0.70765,                 1.0039,                 1.2913,                 1.1957,              0.0011389,              0.0011389,              0.0011389
                     35,                0.96982,                0.81335,                 1.1591,                0.84167,                0.87183,                0.87898,                0.64545,                 1.0396,                 1.6039,                  1.218,              0.0011224,              0.0011224,              0.0011224
                     36,                0.93833,                0.86049,                 1.1652,                0.76233,                0.87942,                0.85097,                0.62894,                 1.0771,                 2.1811,                 1.1983,              0.0011059,              0.0011059,              0.0011059
